serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
282,Jharkand,Gumla,0,0,0,43,32,0,0,11,11,0,0,0,2,0,0,106,54,52,0,0,0,16,13,3,0,0,0,0,0,0,0,0,52,0,0,0,395,23.0916741,84.57384807,192,0.027554535017221583,97.24454649827784
283,Jharkand,Hazaribagh,1,0,0,56,0,0,0,46,25,21,8,2,0,0,0,61,61,0,27,27,0,39,38,1,0,0,0,0,0,0,0,0,26,36,0,0,475,23.9675151,85.43884569,82,0.011768082663605052,98.82319173363949
284,Jharkand,Jamshedpur,0,0,0,122,5,0,0,117,117,0,0,0,0,0,0,77,77,0,7,7,0,48,48,0,0,0,0,3,0,0,0,0,25,0,0,0,653,22.8015194,86.2029579,30,0.004305396096440873,99.56946039035591
285,Jharkand,Jamshedpur Railway,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,8,22.7858324,86.1068102,6,0.0008610792192881745,99.91389207807119
286,Jharkand,Jamtara,0,0,0,17,2,0,0,5,5,0,10,0,0,0,0,12,12,0,2,2,0,21,21,0,0,0,0,0,0,0,0,0,28,0,0,8,145,23.9630448,86.8027604,158,0.02267508610792193,97.73249138920781
287,Jharkand,Khunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,23,5,0,0,92,23.10018105,85.34545936,0,0.0,100.0
288,Jharkand,Koderma,0,0,0,23,0,0,0,11,9,2,12,0,0,0,0,46,46,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,10,21,0,0,300,24.4931239,85.55608107,108,0.015499425947187142,98.45005740528129
289,Jharkand,Latehar,0,0,0,31,5,0,0,26,26,0,0,0,4,0,0,36,36,0,1,1,0,35,35,0,0,0,0,0,0,0,0,0,20,5,0,0,261,23.6880057,84.49695511,30,0.004305396096440873,99.56946039035591
290,Jharkand,Lohardagga,0,0,0,31,3,0,0,28,22,6,0,0,0,0,0,32,32,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,13,0,0,0,211,23.4393983,84.6416963,18,0.0025832376578645237,99.74167623421354
291,Jharkand,Pakur,0,0,0,29,0,0,1,3,3,0,25,0,0,0,0,50,50,0,5,5,0,19,19,0,0,0,0,0,0,0,0,0,13,0,0,0,222,24.53259085,87.59323198,234,0.033582089552238806,96.64179104477611
292,Jharkand,Palamu,0,0,0,106,7,4,8,20,20,0,48,19,0,0,0,59,59,0,9,9,0,91,83,8,1,1,0,0,0,0,0,0,32,13,1,0,598,24.22129825,84.17255646,586,0.08409873708381171,91.59012629161882
293,Jharkand,Ramgarh,0,0,0,32,3,0,0,25,25,0,0,4,0,0,0,20,20,0,3,3,0,15,15,0,1,1,0,0,0,0,0,0,17,6,1,0,191,25.30401285,83.68084425,18,0.0025832376578645237,99.74167623421354
294,Jharkand,Ranchi,2,0,0,28,0,0,2,26,10,16,0,0,0,0,0,190,140,50,0,0,0,71,71,0,0,0,0,0,0,0,0,0,50,0,0,0,656,23.3700501,85.3250387,38,0.0054535017221584384,99.45464982778415
295,Jharkand,Sahebganj,0,0,0,59,18,0,0,29,29,0,12,0,0,0,0,47,47,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,283,26.253086,84.94308207,216,0.030998851894374284,96.90011481056257
296,Jharkand,Saraikela,0,0,0,9,0,1,0,2,2,0,6,0,0,0,0,15,15,0,6,6,0,19,19,0,0,0,0,0,0,0,0,0,16,4,0,0,120,22.7464225,85.91689291,64,0.009184845005740528,99.08151549942595
297,Jharkand,Simdega,0,0,0,25,0,0,0,25,25,0,0,0,5,0,0,47,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,198,22.6664325,84.55026791,0,0.0,100.0
298,Karnataka,Bagalkot,0,0,0,28,27,0,0,0,0,0,1,0,0,0,0,12,12,0,0,0,0,159,159,0,0,0,0,0,0,0,0,0,34,0,0,0,432,16.1793224,75.6999315,171,0.024540757749712976,97.5459242250287
299,Karnataka,Bengaluru City,0,5,2,613,602,3,1,3,3,0,1,3,7,0,0,151,151,0,0,0,0,757,757,0,29,29,0,155,45,74,18,3,371,87,4,0,3874,12.9767936,77.590082,4725,0.6780998851894374,32.19001148105626
300,Karnataka,Bengaluru District,0,0,0,194,194,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,156,156,0,2,2,0,5,0,0,0,0,53,43,7,0,854,12.98815675,77.62260004,1164,0.16704936854190586,83.29506314580941
301,Karnataka,Belagavi District,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,276,276,0,0,0,0,1,0,0,0,0,95,22,8,0,870,16.15878455,74.88886197,444,0.06371986222732491,93.62801377726751
302,Karnataka,Ballari,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,81,81,0,0,0,0,1,0,0,0,0,26,13,0,0,276,15.2485413,76.8323648,168,0.024110218140068886,97.58897818599311
303,Karnataka,Bidar,0,0,0,11,2,0,1,2,2,0,1,5,0,0,0,11,11,0,1,1,0,54,54,0,0,0,0,4,0,3,0,0,40,3,8,1,215,18.02315245,77.24971867,58,0.008323765786452353,99.16762342135476
304,Karnataka,Vijayapura,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,140,140,0,2,2,0,1,0,1,0,0,36,17,0,0,493,16.666667,75.916667,349,0.050086107921928816,94.99138920780712
305,Karnataka,Chikkaballapura,0,0,0,3,2,0,0,1,0,1,0,0,1,0,0,9,9,0,0,0,0,146,146,0,1,1,0,0,0,0,0,0,116,0,22,0,458,13.58979405,77.77879301,12,0.001722158438576349,99.82778415614236
306,Karnataka,Chamarajnagar,0,0,0,4,0,0,1,1,1,0,0,2,0,0,0,9,9,0,0,0,0,155,155,0,2,2,0,0,0,0,0,0,29,12,7,0,389,11.8096668,76.6968549,9,0.0012916188289322618,99.87083811710677
307,Karnataka,Chikkamagaluru,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,6,0,0,0,0,223,223,0,0,0,0,2,0,0,2,0,74,38,6,0,584,13.5,75.5,22,0.003157290470723307,99.68427095292766
308,Karnataka,Chitradurga,0,0,0,5,1,0,0,2,2,0,1,1,0,0,0,12,12,0,0,0,0,383,383,0,4,4,0,1,1,0,0,0,53,36,0,0,901,14.3049174,76.52972342,23,0.0033008036739380023,99.6699196326062
309,Karnataka,Dakshina Kannada,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,57,57,0,2,2,0,0,0,0,0,0,41,7,17,0,227,12.82264335,75.22650363,72,0.010332950631458095,98.96670493685419
310,Karnataka,Davanagere,2,0,0,69,65,0,1,3,3,0,0,0,0,0,0,17,17,0,1,1,0,218,218,0,1,1,0,1,1,0,0,0,63,23,8,0,713,14.2558835,75.83034209,427,0.06128013777267509,93.87198622273249
311,Karnataka,Dharwad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,47,47,0,0,0,0,0,0,0,0,0,20,6,7,0,135,15.3707296,75.13328673,0,0.0,100.0
312,Karnataka,Gadag,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,7,7,0,0,0,0,56,56,0,1,1,0,0,0,0,0,0,31,1,2,0,166,15.41669195,75.68158013,10,0.0014351320321469576,99.8564867967853
313,Karnataka,Kalaburgi,1,0,0,29,27,0,0,0,0,0,2,0,0,0,0,12,12,0,0,0,0,117,116,1,0,0,0,1,1,0,0,0,47,4,4,0,374,15.4531517,77.4206356,198,0.02841561423650976,97.15843857634903
314,Karnataka,Hassan,0,0,0,66,49,0,0,1,1,0,1,15,0,0,0,13,13,0,0,0,0,273,273,0,0,0,0,0,0,0,0,0,109,43,0,0,857,13.03018525,76.17449677,303,0.043484500574052815,95.65154994259471
315,Karnataka,Haveri,0,0,0,58,54,0,0,0,0,0,0,4,0,0,0,13,13,0,0,0,0,112,112,0,0,0,0,0,0,0,0,0,63,10,4,0,443,14.7874825,75.3996731,324,0.04649827784156142,95.35017221584386
316,Karnataka,Hubballi Dharwad City,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,10,10,0,0,0,0,55,55,0,0,0,0,6,1,0,0,0,23,13,3,0,186,15.3575733,75.0267454,26,0.0037313432835820895,99.6268656716418
317,Karnataka,K.G.F.,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,26,3,1,0,134,47.0607034,-0.8814248,48,0.006888633754305396,99.31113662456946
318,Karnataka,Kodagu,0,0,0,27,23,0,0,0,0,0,0,4,0,0,0,8,8,0,0,0,0,53,53,0,1,1,0,0,0,0,0,0,57,5,4,0,244,12.3827332,75.66407145,138,0.019804822043628014,98.0195177956372
319,Karnataka,Kolar,0,0,0,52,51,0,0,1,1,0,0,0,0,0,0,12,12,0,0,0,0,129,129,0,1,1,0,0,0,0,0,0,60,5,4,0,458,13.18050655,78.26693289,306,0.0439150401836969,95.60849598163031
320,Karnataka,Koppal,0,0,0,31,30,0,0,1,1,0,0,0,1,0,0,8,8,0,0,0,0,109,109,0,2,2,0,0,0,0,0,0,65,6,0,0,373,15.57482375,76.31184937,180,0.025832376578645237,97.41676234213547
321,Karnataka,Mandya,1,0,0,5,2,0,0,3,3,0,0,0,0,0,0,10,10,0,0,0,0,342,342,0,2,2,0,3,3,0,0,0,67,30,1,1,827,12.5238888,76.8961961,53,0.007606199770378875,99.23938002296211
322,Karnataka,Mangaluru City,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,12,12,0,0,0,0,83,83,0,4,4,0,2,0,0,0,0,41,23,3,0,274,12.8698101,74.8430082,12,0.001722158438576349,99.82778415614236
323,Karnataka,Mysuru City,0,0,0,45,44,0,0,1,0,1,0,0,0,0,0,15,15,0,0,0,0,81,81,0,3,3,0,0,0,0,0,0,34,20,0,0,343,12.3051828,76.6553609,264,0.03788748564867968,96.21125143513203
324,Karnataka,Mysuru District,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22,22,0,0,0,0,284,284,0,4,4,0,7,7,0,0,0,79,14,42,0,771,12.19683175,76.61204685,65,0.009328358208955225,99.06716417910447
325,Karnataka,Raichur,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,217,217,0,0,0,0,3,0,3,0,0,45,0,7,0,590,16.0547194,76.90036472,171,0.024540757749712976,97.5459242250287
326,Karnataka,K.Railways,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,2,0,0,0,10,-0.2753895,36.0406781,0,0.0,100.0
327,Karnataka,Ramanagara,0,0,0,82,78,0,1,2,2,0,1,0,0,0,0,14,14,0,0,0,0,291,291,0,1,1,0,2,0,0,0,0,69,23,0,0,872,12.72000595,77.31841991,486,0.06974741676234214,93.02525832376578
328,Karnataka,Shimoga,0,0,0,71,69,0,0,0,0,0,0,2,0,0,0,23,23,0,0,0,0,327,327,0,1,1,0,2,0,0,0,0,146,18,11,0,1021,14.05565025,75.23805528,414,0.059414466130884046,94.0585533869116
329,Karnataka,Tumakuru,0,0,0,109,107,0,0,2,2,0,0,0,0,0,0,19,19,0,0,0,0,284,284,0,2,2,0,4,4,0,0,0,69,10,20,0,937,13.4192512,76.88100044,674,0.09672789896670494,90.3272101033295
330,Karnataka,Udupi,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,72,72,0,4,4,0,2,0,0,1,0,46,19,1,0,257,13.5269784,74.87318787,54,0.007749712973593571,99.22502870264064
331,Karnataka,Uttara Kannada,0,0,0,35,33,0,0,0,0,0,0,2,0,0,0,11,11,0,0,0,0,160,160,0,5,5,0,6,4,0,1,0,46,13,4,0,496,14.72537945,74.64033891,236,0.0338691159586682,96.61308840413318
332,Karnataka,Yadgiri,0,0,0,19,16,0,0,2,1,1,1,0,0,0,0,15,15,0,0,0,0,97,97,0,1,1,0,0,0,0,0,0,33,8,2,0,309,16.7670964,77.1403984,105,0.015068886337543054,98.49311136624569
333,Karnataka,Belagavi City,0,0,0,17,17,0,0,0,0,0,0,0,1,0,0,6,6,0,0,0,0,43,43,0,1,1,0,3,0,0,0,0,23,3,2,0,166,15.8572666,74.5069343,102,0.014638346727898967,98.5361653272101
334,Karnataka,Kalaburgi City,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7,7,0,1,1,0,41,41,0,0,0,0,3,0,3,0,0,14,0,3,0,125,17.3389883,76.7575376,31,0.004448909299655569,99.55510907003445
335,Karnataka,Vijayanagara,1,0,0,16,14,0,0,2,0,2,0,0,0,0,0,7,7,0,0,0,0,81,81,0,1,1,0,0,0,0,0,0,48,12,2,0,275,16.3270486,74.7380455,94,0.0134902411021814,98.65097588978186
336,Kerala,All Districts,0,0,0,8,0,0,0,6,1,5,0,2,1,0,0,47,47,0,3,3,0,190,184,6,35,35,0,1,1,0,0,0,57,56,32,0,720,28.2884414,76.3467823,8,0.001148105625717566,99.88518943742825
337,Kerala,Alapuzha,0,1,0,8,5,0,0,1,0,1,0,2,0,0,0,35,35,0,0,0,0,261,261,0,24,24,0,0,0,0,0,0,85,97,16,0,856,9.56493435,76.54448149,39,0.005597014925373135,99.44029850746269
338,Kerala,Ernakulam Commr.,0,0,0,9,8,0,0,0,0,0,0,1,0,0,0,97,97,0,2,2,0,327,271,56,66,60,6,0,0,0,0,0,72,4,1,0,1079,9.9860104,76.2698163,48,0.006888633754305396,99.31113662456946
339,Kerala,Ernakulam Rural,2,1,0,22,19,0,0,1,0,1,2,0,1,0,0,61,61,0,5,4,1,431,334,97,83,76,7,0,0,0,0,0,85,47,9,0,1350,10.1187032,76.47504,161,0.023105625717566018,97.6894374282434
340,Kerala,Idukki,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,40,40,0,7,7,0,197,148,49,26,24,2,0,0,0,0,0,129,31,6,0,720,9.8154785,76.99915995,42,0.006027554535017222,99.39724454649827
341,Kerala,Kannur City,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,92,92,0,10,10,0,0,0,0,0,0,20,55,4,0,327,11.860138,75.3807889,6,0.0008610792192881745,99.91389207807119
342,Kerala,Kasargod,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,89,89,0,16,16,0,1,0,0,0,0,77,51,7,0,402,12.4914722,74.9877613,12,0.001722158438576349,99.82778415614236
343,Kerala,Kollam Commr.,0,0,0,6,4,0,0,2,2,0,0,0,6,0,0,28,28,0,0,0,0,189,189,0,21,21,0,1,0,0,0,0,60,75,25,0,657,8.9409407,76.6038264,24,0.003444316877152698,99.65556831228473
344,Kerala,Kollam Rural,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,23,23,0,3,3,0,242,242,0,21,21,0,0,0,0,0,0,105,82,12,0,792,8.9989381,76.7732344,51,0.007319173363949483,99.26808266360506
345,Kerala,Kottayam,0,0,0,23,20,0,0,1,1,0,2,0,0,0,0,44,44,0,1,1,0,309,235,74,31,28,3,0,0,0,0,0,81,14,3,0,915,9.6287383,76.64553257,138,0.019804822043628014,98.0195177956372
346,Kerala,Kozhikode Commr.,0,0,0,31,29,0,0,0,0,0,2,0,1,0,0,42,42,0,2,2,0,236,154,82,37,35,2,1,0,0,0,0,47,4,1,0,750,11.2361141,75.7222164,192,0.027554535017221583,97.24454649827784
347,Kerala,Kozhikode Rural,0,0,0,24,20,0,0,4,0,4,0,0,0,0,0,46,46,0,1,1,0,325,189,136,20,20,0,0,0,0,0,0,61,8,2,0,907,11.252788,75.7905332,120,0.017221584385763492,98.27784156142366
348,Kerala,Malappuram,0,0,0,19,17,0,0,0,0,0,1,1,1,0,0,81,81,0,2,2,0,427,209,218,27,21,6,0,0,0,0,0,150,3,1,0,1267,11.10684475,76.1099551,111,0.015929965556831228,98.40700344431687
349,Kerala,Palakkad,0,0,0,22,21,0,0,0,0,0,0,1,0,0,0,30,30,0,0,0,0,274,153,121,20,16,4,0,0,0,0,0,134,2,2,0,830,10.78736915,76.47421719,126,0.018082663605051664,98.19173363949484
350,Kerala,Pathanamthitta,0,1,0,12,11,0,0,1,1,0,0,0,0,0,0,34,34,0,2,2,0,178,178,0,29,29,0,0,0,0,0,0,114,57,3,0,686,9.2780841,76.9737443,75,0.010763490241102182,98.92365097588977
351,Kerala,Railways,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,46,46,0,14,14,0,0,0,0,0,0,5,3,0,0,134,0.4391633,33.2151272,6,0.0008610792192881745,99.91389207807119
352,Kerala,Thrissur Rural,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,33,33,0,2,2,0,232,183,49,29,25,4,0,0,0,0,0,55,74,21,0,762,10.5214758,76.1899913,60,0.008610792192881746,99.13892078071183
353,Kerala,Trivandrum Commr.,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,40,40,0,2,2,0,200,198,2,22,22,0,3,0,0,0,0,58,73,11,0,689,8.5249893,76.9005562,48,0.006888633754305396,99.31113662456946
354,Kerala,Trivandrum Rural,0,0,0,9,8,0,0,1,0,1,0,0,0,0,0,43,43,0,9,9,0,467,467,0,17,17,0,0,0,0,0,0,203,179,19,0,1492,8.6981873,76.81542345,48,0.006888633754305396,99.31113662456946
355,Kerala,Wayanadu,0,0,0,8,7,0,0,1,1,0,0,0,0,0,0,32,32,0,0,0,0,152,124,28,11,11,0,1,0,0,0,0,81,50,5,0,544,10.8942004,75.927851,42,0.006027554535017222,99.39724454649827
356,Kerala,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5449382,73.8448569,0,0.0,100.0
357,Kerala,Kannur Rural,0,0,0,4,2,0,0,1,1,0,0,1,11,0,0,11,11,0,0,0,0,76,75,1,13,12,1,0,0,0,0,0,25,53,18,0,316,11.9295014,75.2874704,12,0.001722158438576349,99.82778415614236
358,Madhya Pradesh,Agar,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,45,45,0,1,1,0,0,0,0,0,0,15,12,0,0,165,44.8383153,-100.0745668,42,0.006027554535017222,99.39724454649827
359,Madhya Pradesh,Alirajpur,0,0,0,27,25,0,0,2,2,0,0,0,0,0,0,31,31,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,64,3,0,0,229,22.28595245,74.35456283,150,0.021526980482204364,97.84730195177957
360,Madhya Pradesh,Anuppur,1,0,0,104,99,0,1,2,0,2,1,1,0,0,0,40,40,0,0,0,0,68,68,0,1,1,0,0,0,0,0,0,49,27,0,0,505,23.0346179,81.75102552,622,0.08926521239954076,91.07347876004593
361,Madhya Pradesh,Ashok Nagar,0,0,0,43,43,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,0,94,94,0,4,4,0,0,0,0,0,0,66,38,0,0,427,13.0400731,80.2159247,258,0.037026406429391506,96.29735935706086
362,Madhya Pradesh,Balaghat,2,0,0,173,171,0,0,0,0,0,0,2,1,0,0,54,54,0,0,0,0,93,93,0,4,4,0,0,0,0,0,0,72,34,1,0,758,21.8611589,80.32371048,1046,0.15011481056257175,84.98851894374282
363,Madhya Pradesh,Barwani,0,0,0,98,86,0,0,12,12,0,0,0,0,0,0,46,46,0,0,0,0,120,120,0,9,9,0,0,0,0,0,0,80,37,0,0,675,22.0333621,74.8978374,516,0.07405281285878301,92.59471871412171
364,Madhya Pradesh,Betul,0,0,0,170,0,0,0,170,1,169,0,0,1,0,0,35,35,0,0,0,0,45,45,0,8,8,0,0,0,0,0,0,50,21,1,0,759,21.8797472,77.87536507,0,0.0,100.0
365,Madhya Pradesh,Bhind,0,0,0,96,96,0,0,0,0,0,0,0,1,0,0,32,32,0,0,0,0,48,48,0,4,4,0,0,0,0,0,0,16,23,0,0,400,26.5,78.75,576,0.08266360505166476,91.73363949483353
366,Madhya Pradesh,Bhopal Commissionarate,0,1,0,400,386,0,0,9,4,5,2,3,0,0,0,248,248,0,3,3,0,361,361,0,20,20,0,0,0,0,0,0,151,57,11,0,2293,28.2516657,76.8144185,2343,0.33625143513203215,66.37485648679679
367,Madhya Pradesh,Bhopal Railway,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,2,2,0,0,58,23.26631385,77.41252566,42,0.006027554535017222,99.39724454649827
368,Madhya Pradesh,Burhanpur,0,0,0,70,67,0,0,2,0,2,1,0,0,0,0,26,26,0,0,0,0,52,52,0,1,1,0,0,0,0,0,0,33,26,0,0,359,26.26973955,82.99508798,411,0.05898392652123995,94.101607347876
369,Madhya Pradesh,Chhatarpur,0,0,0,236,204,0,0,32,0,32,0,0,1,0,0,46,46,0,2,2,0,126,126,0,2,2,0,0,0,0,0,0,70,49,5,0,981,24.75,79.75,1224,0.1756601607347876,82.43398392652124
370,Madhya Pradesh,Chhindwara,13,0,0,158,158,0,0,0,0,0,0,0,1,0,0,52,52,0,0,0,0,36,36,0,4,4,0,0,0,0,0,0,44,22,0,0,580,22.20718965,78.79883296,1078,0.154707233065442,84.5292766934558
371,Madhya Pradesh,Damoh,0,0,0,143,143,0,0,0,0,0,0,0,0,0,0,27,27,0,1,1,0,84,84,0,3,3,0,0,0,0,0,0,11,35,0,0,562,23.75,79.583333,858,0.12313432835820896,87.68656716417911
372,Madhya Pradesh,Datia,1,0,0,58,58,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,13,16,0,0,294,25.75,78.5,358,0.05137772675086108,94.86222732491389
373,Madhya Pradesh,Dewas,0,1,0,130,112,0,0,14,0,14,1,3,0,0,0,45,45,0,1,1,0,145,145,0,3,3,0,0,0,0,0,0,120,45,0,0,828,23.0,76.166667,690,0.09902411021814007,90.097588978186
374,Madhya Pradesh,Dhar,0,0,0,356,338,0,0,12,3,9,0,6,2,0,0,153,153,0,0,0,0,213,213,0,2,2,0,2,0,0,2,0,169,48,1,0,1684,22.5786572,75.22586367,2040,0.29276693455797936,70.72330654420207
375,Madhya Pradesh,Dindori,2,0,0,90,89,0,0,1,1,0,0,0,0,0,0,36,36,0,1,1,0,48,48,0,2,2,0,0,0,0,0,0,41,20,1,0,419,22.9446796,81.0774969,554,0.07950631458094144,92.04936854190585
376,Madhya Pradesh,Guna,2,0,0,10,0,0,0,2,2,0,0,8,0,0,0,44,44,0,1,1,0,98,98,0,11,11,0,0,0,0,0,0,71,12,0,0,415,24.5,77.5,20,0.0028702640642939152,99.71297359357061
377,Madhya Pradesh,Gwalior,2,0,0,196,176,2,0,15,3,12,0,3,1,0,2,193,193,0,1,1,0,222,222,0,10,10,0,3,3,0,0,0,120,87,0,0,1477,26.2037247,78.1573628,1138,0.16331802525832376,83.66819747416763
378,Madhya Pradesh,Harda,0,0,0,96,78,0,0,0,0,0,0,18,1,0,0,23,23,0,0,0,0,82,82,0,1,1,0,0,0,0,0,0,64,30,0,0,499,22.3388828,77.0929933,468,0.06716417910447761,93.28358208955224
379,Madhya Pradesh,Narmadapuram,1,0,0,134,124,0,0,10,1,9,0,0,0,0,0,43,43,0,1,1,0,81,81,0,7,7,0,0,0,0,0,0,64,49,1,0,657,22.60028325,77.9269848,754,0.1082089552238806,89.17910447761194
380,Madhya Pradesh,Indore Commissionarate,1,1,0,505,478,0,1,23,3,20,0,3,5,0,0,174,174,0,2,2,0,219,219,0,20,20,0,9,0,0,0,0,197,90,1,0,2167,22.7329857,75.8415738,2896,0.4156142365097589,58.43857634902411
381,Madhya Pradesh,Indore Railway,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,15,22.7214768,75.86837827,12,0.001722158438576349,99.82778415614236
382,Madhya Pradesh,Jabalpur,1,0,0,343,334,0,0,9,4,5,0,0,1,0,0,164,164,0,0,0,0,303,303,0,17,16,1,0,0,0,0,0,144,117,1,0,1927,23.1608938,79.9497702,2014,0.28903559127439726,71.09644087256028
383,Madhya Pradesh,Jabalpur Railway,0,0,0,6,5,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,3,1,0,0,39,23.1730714,79.9476487,30,0.004305396096440873,99.56946039035591
384,Madhya Pradesh,Jhabua,0,0,0,192,183,0,0,5,5,0,0,4,0,0,0,42,42,0,0,0,0,50,50,0,3,3,0,0,0,0,0,0,32,17,2,0,630,22.88696515,74.72432486,1098,0.15757749712973593,84.24225028702641
385,Madhya Pradesh,Katni,0,0,0,211,0,0,0,211,0,211,0,0,0,0,0,35,35,0,0,0,0,59,59,0,6,6,0,0,0,0,0,0,14,38,0,0,885,23.7477258,80.4015857,0,0.0,100.0
386,Madhya Pradesh,Khandwa,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,131,131,0,8,7,1,0,0,0,0,0,80,24,1,0,745,21.9769779,76.56753443,768,0.11021814006888633,88.97818599311137
387,Madhya Pradesh,Khargone,0,0,0,123,120,0,0,3,3,0,0,0,2,0,0,59,59,0,1,1,0,143,143,0,11,11,0,0,0,0,0,0,212,53,0,0,944,21.825599,75.614182,720,0.10332950631458095,89.66704936854191
388,Madhya Pradesh,Mandla,2,0,0,174,153,0,0,11,0,11,10,0,1,0,0,27,27,0,0,0,0,37,37,0,2,2,0,0,0,0,0,0,24,21,0,0,539,22.6871074,80.58163412,1028,0.14753157290470723,85.24684270952928
389,Madhya Pradesh,Mandsaur,2,1,0,89,89,0,0,0,0,0,0,0,2,0,0,29,29,0,0,0,0,98,98,0,3,3,0,0,0,0,0,0,61,43,0,0,547,24.2628148,75.38569204,563,0.0807979334098737,91.92020665901262
